Clube,País,Liga,Link_LogoClube,Link_LogoLiga,Link_Bandeira
Santos,Brasil,Campeonato Brasileiro Série A,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Santos.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Campeonato%20Brasileiro%20S%C3%A9rie%20A.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Brasil.png
Vasco,Brasil,Campeonato Brasileiro Série A,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Vasco.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Campeonato%20Brasileiro%20S%C3%A9rie%20A.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Brasil.png
Barcelona,Espanha,La Liga,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Barcelona.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/La%20Liga.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Espanha.png
Betis,Espanha,La Liga,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Betis.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/La%20Liga.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Espanha.png
Girona,Espanha,La Liga,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Girona.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/La%20Liga.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Espanha.png
Real Madrid,Espanha,La Liga,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Real%20Madrid.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/La%20Liga.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Espanha.png
Lille,França,Ligue 1,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Lille.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Ligue%201.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Fran%C3%A7a.png
Lyon,França,Ligue 1,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Lyon.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Ligue%201.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Fran%C3%A7a.png
PSG,França,Ligue 1,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/PSG.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Ligue%201.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Fran%C3%A7a.png
Arsenal,Inglaterra,Premier League,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Arsenal.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Premier%20League.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Inglaterra.png
Bournemouth,Inglaterra,Premier League,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Bournemouth.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Premier%20League.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Inglaterra.png
Brentford,Inglaterra,Premier League,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Brentford.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Premier%20League.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Inglaterra.png
Chelsea,Inglaterra,Premier League,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Chelsea.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Premier%20League.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Inglaterra.png
Liverpool,Inglaterra,Premier League,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Liverpool.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Premier%20League.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Inglaterra.png
Manchester United,Inglaterra,Premier League,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Manchester%20United.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Premier%20League.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Inglaterra.png
Newcastle,Inglaterra,Premier League,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Newcastle.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Premier%20League.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Inglaterra.png
Nottingham Forest,Inglaterra,Premier League,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Nottingham%20Forest.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Premier%20League.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Inglaterra.png
Tottenham,Inglaterra,Premier League,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Tottenham.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Premier%20League.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Inglaterra.png
Wolverhampton,Inglaterra,Premier League,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Wolverhampton.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Premier%20League.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Inglaterra.png
Atalanta,Itália,Serie A,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Atalanta.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Serie%20A.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/It%C3%A1lia.png
Inter de Milão,Itália,Serie A,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Inter%20de%20Mil%C3%A3o.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Serie%20A.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/It%C3%A1lia.png
Juventus,Itália,Serie A,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Juventus.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Serie%20A.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/It%C3%A1lia.png
Roma,Itália,Serie A,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Roma.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Serie%20A.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/It%C3%A1lia.png
Porto,Portugal,Primeira Liga,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Porto.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Primeira%20Liga.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Portugal.png
Zenit,Rússia,Russian Premier League,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Zenit.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/Russian%20Premier%20League.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/R%C3%BAssia.png
Fenerbahçe,Turquia,Süper Lig,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Fenerbah%C3%A7e.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/S%C3%BCper%20Lig.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Turquia.png
Galatasaray,Turquia,Süper Lig,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20clubes/Galatasaray.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logo%20das%20ligas/S%C3%BCper%20Lig.png,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/refs/heads/main/logos%20dos%20paises/Turquia.png
