Nome,Clube,status_convocacao,Link_Fbref,link_img,Posição
Gerson,Cruzeiro,Pré-Lista,https://fbref.com/en/players/8827bf46/Gerson,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Gerson__Cruzeiro_-removebg-preview.png,Meio-campo
Hugo Souza,Corinthians,Pré-Lista,https://fbref.com/en/players/c02e5af1/Hugo-Souza,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Hugo_Souza__Corinthians_-removebg-preview.png,GOLEIRO
Ibañez,Al-Ahli,Convocado,https://fbref.com/en/players/82efe6fa/Roger-Ibanez,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Iba%C3%B1ez__Al-Ahli_-removebg-preview.png,Defensor
Igor Jesus,Nottingham Forest,Pré-Lista,https://fbref.com/en/players/dbe24cce/Igor-Jesus,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Igor_Jesus__Nottingham_Forest_-removebg-preview.png,Atacante
Igor Thiago,Brentford,Convocado,https://fbref.com/en/players/dc45ac24/Igor-Thiago,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Igor_Thiago__Brentford_-removebg-preview.png,Atacante
João Gomes,Wolverhampton,Pré-Lista,https://fbref.com/en/players/8b57ad2c/Joao-Gomes,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Jo%C3%A3o_Gomes__Wolverhampton_-removebg-preview.png,Meio-campo
João Pedro,Chelsea,Pré-Lista,https://fbref.com/en/players/e8832875/Joao-Pedro,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Jo%C3%A3o_Pedro__Chelsea_-removebg-preview.png,Atacante
John,Nottingham Forest,Pré-Lista,https://fbref.com/en/players/33a235af/John,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/John__Nottingham_Forest_-removebg-preview.png,GOLEIRO
Kaiki Bruno,Cruzeiro,Pré-Lista,https://fbref.com/en/players/1a36e9cb/Kaiki-Bruno,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Kaiki_Bruno__Cruzeiro_-removebg-preview.png,Defensor
Kaio Jorge,Cruzeiro,Pré-Lista,https://fbref.com/en/players/0cf465f2/Kaio-Jorge,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Kaio_Jorge__Cruzeiro_-removebg-preview.png,Atacante
Léo Ortiz,Flamengo,Pré-Lista,https://fbref.com/en/players/53834fa2/Leo-Ortiz,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Leo_Ortiz__Flamengo_-removebg-preview.png,Defensor
Léo Pereira,Flamengo,Convocado,https://fbref.com/en/players/bd247251/Leo-Pereira,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Leo_Pereira__Flamengo_-removebg-preview.png,Defensor
Lucas Paquetá,Flamengo,Convocado,https://fbref.com/en/players/9b6f7fd5/Lucas-Paqueta,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Lucas_Paquet%C3%A1__Flamengo_-removebg-preview.png,Meio-campo
Luciano Juba,Bahia,Pré-Lista,https://fbref.com/en/players/c2abc321/Luciano-Juba,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Luciano_Juba__Bahia_-removebg-preview.png,Defensor
Luiz Henrique,Zenit,Convocado,https://fbref.com/en/players/8059806f/Luiz-Henrique,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Luiz_Henrique__Zenit_-removebg-preview.png,Atacante
Marquinhos,PSG,Convocado,https://fbref.com/en/players/d5f2f82b/Marquinhos,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Marquinhos__PSG_-removebg-preview.png,Defensor
Matheus Cunha,Manchester United,Convocado,https://fbref.com/en/players/dc62b55d/Matheus-Cunha,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Matheus_Cunha__Manchester_United_-removebg-preview.png,Atacante
Matheus Pereira,Cruzeiro,Pré-Lista,https://fbref.com/en/players/b04ee927/Matheus-Pereira,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Matheus_Pereira__Cruzeiro_-removebg-preview.png,Meio-campo
Natan,Betis,Pré-Lista,https://fbref.com/en/players/94bccc82/Natan,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Natan__Betis_-removebg-preview.png,Defensor
Neymar,Santos,Convocado,https://fbref.com/en/players/69384e5d/Neymar,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Neymar__Santos_-removebg-preview.png,Atacante
Paulo Henrique,Vasco,Pré-Lista,https://fbref.com/en/players/25a0cb08/Paulo-Henrique,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Paulo_Henrique__Vasco_-removebg-preview.png,Defensor
Pedro,Flamengo,Pré-Lista,https://fbref.com/en/players/1ab6fad3/Pedro,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Pedro__Flamengo_-removebg-preview.png,Atacante
Raphinha,Barcelona,Convocado,https://fbref.com/en/players/3423f250/Raphinha,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Raphinha__Barcelona_-removebg-preview.png,Atacante
Rayan,Bournemouth,Convocado,https://fbref.com/en/players/288647fc/Rayan,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Rayan__Bournemouth_-removebg-preview.png,Atacante
Richarlison,Tottenham,Pré-Lista,https://fbref.com/en/players/fa031b34/Richarlison,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Richarlison__Tottenham_-removebg-preview.png,Atacante
Samuel Lino,Flamengo,Pré-Lista,https://fbref.com/en/players/2a295d33/Samuel-Lino,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Samuel_Lino__Flamengo_-removebg-preview.png,Atacante
Thiago Silva,Porto,Pré-Lista,https://fbref.com/en/players/86e7deaf/Thiago-Silva,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Thiago_Silva__Porto_-removebg-preview.png,Defensor
Vini Jr,Real Madrid,Convocado,https://fbref.com/en/players/7111d552/Vinicius-Junior,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Vini_Jr__Real_Madrid_-removebg-preview.png,Atacante
Vitinho,Botafogo,Pré-Lista,https://fbref.com/en/players/9295dc1c/Vitinho,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Vitinho__Botafogo_-removebg-preview.png,Defensor
Vitor Reis,Girona,Pré-Lista,https://fbref.com/en/players/c4ce0ab5/Vitor-Reis,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Vitor_Reis__Girona_-removebg-preview.png,Defensor
Wesley,Roma,Convocado,https://fbref.com/en/players/f2c49c79/Wesley,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Wesley__Roma_-removebg-preview.png,Defensor
Weverton,Grêmio,Convocado,https://fbref.com/en/players/81be82e9/Weverton,https://raw.githubusercontent.com/Darlan-Monteiro/Analise-dos-Brasileiros-Convocados-para-a-Copa/main/imagens jogadores/Weverton__Gr%C3%AAmio_-removebg-preview.png,GOLEIRO
