Nome,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches
Alex Sandro,2026,35,Flamengo,br BRA,1. Série A,2nd,12,12,975,10.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Alexsandro Ribeiro,2022-2023,22,Lille,fr FRA,1. Ligue 1,5th,21,16,"1,612",17.9,3,0,3,3,0,0,4,0,0.17,0.00,0.17,0.17,0.17,Matches
Alexsandro Ribeiro,2023-2024,23,Lille,fr FRA,1. Ligue 1,4th,29,24,"2,220",24.7,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches
Alexsandro Ribeiro,2024-2025,24,Lille,fr FRA,1. Ligue 1,5th,30,30,"2,700",30.0,1,1,2,1,0,0,10,0,0.03,0.03,0.07,0.03,0.07,Matches
Alexsandro Ribeiro,2025-2026,25,Lille,fr FRA,1. Ligue 1,3rd,9,7,509,5.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
Alisson,2014,21,Internacional,br BRA,1. Série A,3rd,11,11,990,11.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Alisson,2015,22,Internacional,br BRA,1. Série A,5th,26,26,"2,265",25.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Alisson,2016,23,Internacional,br BRA,1. Série A,17th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alisson,2016-2017,23,Roma,it ITA,1. Serie A,2nd,0,0,,,,,,,,,,,,,,,,Matches
Alisson,2017-2018,24,Roma,it ITA,1. Serie A,3rd,37,37,"3,330",37.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Alisson,2018-2019,25,Liverpool,eng ENG,1. Premier League,2nd,38,38,"3,420",38.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Alisson,2019-2020,26,Liverpool,eng ENG,1. Premier League,1st,29,29,"2,543",28.3,0,1,1,0,0,0,0,1,0.00,0.04,0.04,0.00,0.04,Matches
Alisson,2020-2021,27,Liverpool,eng ENG,1. Premier League,3rd,33,33,"2,970",33.0,1,0,1,1,0,0,1,0,0.03,0.00,0.03,0.03,0.03,Matches
Alisson,2021-2022,28,Liverpool,eng ENG,1. Premier League,2nd,36,36,"3,240",36.0,0,1,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,Matches
Alisson,2022-2023,29,Liverpool,eng ENG,1. Premier League,5th,37,37,"3,330",37.0,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matches
Alisson,2023-2024,30,Liverpool,eng ENG,1. Premier League,3rd,28,28,"2,520",28.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Alisson,2024-2025,31,Liverpool,eng ENG,1. Premier League,1st,28,28,"2,508",27.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alisson,2025-2026,32,Liverpool,eng ENG,1. Premier League,5th,25,25,"2,250",25.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Andreas Pereira,2014-2015,18,Manchester Utd,eng ENG,1. Premier League,4th,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Andreas Pereira,2015-2016,19,Manchester Utd,eng ENG,1. Premier League,5th,4,0,84,0.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Andreas Pereira,2016-2017,20,Granada,es ESP,1. La Liga,20th,35,34,"2,819",31.3,5,3,8,5,0,0,10,1,0.16,0.10,0.26,0.16,0.26,Matches
Andreas Pereira,2017-2018,21,Valencia,es ESP,1. La Liga,4th,23,12,"1,078",12.0,1,3,4,1,0,0,5,0,0.08,0.25,0.33,0.08,0.33,Matches
Andreas Pereira,2018-2019,22,Manchester Utd,eng ENG,Jr. PL2 — Div. 2,6th,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Andreas Pereira,2018-2019,22,Manchester Utd,eng ENG,1. Premier League,6th,15,6,599,6.7,1,1,2,1,0,0,5,0,0.15,0.15,0.30,0.15,0.30,Matches
Andreas Pereira,2019-2020,23,Manchester Utd,eng ENG,1. Premier League,3rd,25,18,"1,484",16.5,1,3,4,1,0,0,3,0,0.06,0.18,0.24,0.06,0.24,Matches
Andreas Pereira,2020-2021,24,Lazio,it ITA,1. Serie A,6th,26,3,543,6.0,1,2,3,1,0,0,7,1,0.17,0.33,0.50,0.17,0.50,Matches
Andreas Pereira,2021,25,Flamengo,br BRA,1. Série A,2nd,18,16,"1,383",15.4,5,1,6,5,0,0,3,0,0.33,0.07,0.39,0.33,0.39,Matches
Andreas Pereira,2021-2022,25,Manchester Utd,eng ENG,1. Premier League,6th,0,0,,,,,,,,,,,,,,,,Matches
Andreas Pereira,2022,26,Flamengo,br BRA,1. Série A,5th,13,9,792,8.8,2,1,3,2,0,0,2,0,0.23,0.11,0.34,0.23,0.34,Matches
Andreas Pereira,2022-2023,26,Fulham,eng ENG,1. Premier League,10th,33,33,"2,692",29.9,4,6,10,3,1,1,8,0,0.13,0.20,0.33,0.10,0.30,Matches
Andreas Pereira,2023-2024,27,Fulham,eng ENG,1. Premier League,13th,37,34,"2,613",29.0,3,7,10,3,0,0,6,0,0.10,0.24,0.34,0.10,0.34,Matches
Andreas Pereira,2024-2025,28,Fulham,eng ENG,1. Premier League,11th,33,25,"2,013",22.4,2,4,6,2,0,1,7,0,0.09,0.18,0.27,0.09,0.27,Matches
Andreas Pereira,2025,29,Palmeiras,br BRA,1. Série A,2nd,15,11,"1,005",11.2,2,0,2,2,0,0,4,1,0.18,0.00,0.18,0.18,0.18,Matches
Andreas Pereira,2025-2026,29,Fulham,eng ENG,1. Premier League,13th,0,0,,,,,,,,,,,,,,,,Matches
Andreas Pereira,2026,30,Palmeiras,br BRA,1. Série A,1st,16,16,"1,247",13.9,1,9,10,1,0,0,2,0,0.07,0.65,0.72,0.07,0.72,Matches
Andrey Santos,2021,16,Vasco da Gama,br BRA,2. Série B,10th,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Andrey Santos,2022,17,Vasco da Gama,br BRA,2. Série B,4th,33,33,"2,825",31.4,8,0,8,8,0,0,9,1,0.25,0.00,0.25,0.25,0.25,Matches
Andrey Santos,2023,18,Vasco da Gama,br BRA,1. Série A,15th,6,6,421,4.7,1,0,1,1,0,0,3,0,0.21,0.00,0.21,0.21,0.21,Matches
Andrey Santos,2023-2024,19,Chelsea,eng ENG,1. Premier League,6th,0,0,,,,,,,,,,,,,,,,Matches
Andrey Santos,2023-2024,19,Nottingham Forest,eng ENG,1. Premier League,17th,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Andrey Santos,2023-2024,19,Strasbourg,fr FRA,1. Ligue 1,13th,11,9,831,9.2,1,0,1,1,0,0,4,0,0.11,0.00,0.11,0.11,0.11,Matches
Andrey Santos,2024-2025,20,Strasbourg,fr FRA,1. Ligue 1,7th,32,32,"2,855",31.7,10,3,13,10,0,0,8,0,0.32,0.09,0.41,0.32,0.41,Matches
Andrey Santos,2025-2026,21,Chelsea,eng ENG,1. Premier League,8th,27,13,"1,260",14.0,1,0,1,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches
Antony,2018,17,São Paulo,br BRA,1. Série A,5th,3,0,46,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Antony,2019,18,São Paulo,br BRA,1. Série A,6th,29,27,"2,379",26.4,4,6,10,4,0,0,5,1,0.15,0.23,0.38,0.15,0.38,Matches
Antony,2020-2021,20,Ajax,nl NED,1. Eredivisie,1st,32,24,"1,762",19.6,9,8,17,9,0,0,2,0,0.46,0.41,0.87,0.46,0.87,Matches
Antony,2021-2022,21,Ajax,nl NED,1. Eredivisie,1st,23,21,"1,724",19.2,8,4,12,8,0,0,5,1,0.42,0.21,0.63,0.42,0.63,Matches
Antony,2022-2023,22,Ajax,nl NED,1. Eredivisie,3rd,2,2,180,2.0,1,2,3,1,0,0,0,0,0.50,1.00,1.50,0.50,1.50,Matches
Antony,2022-2023,22,Manchester Utd,eng ENG,1. Premier League,3rd,25,23,"1,802",20.0,4,2,6,4,0,0,5,0,0.20,0.10,0.30,0.20,0.30,Matches
Antony,2023-2024,23,Manchester Utd,eng ENG,1. Premier League,8th,29,15,"1,324",14.7,1,1,2,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,Matches
Antony,2024-2025,24,Manchester Utd,eng ENG,1. Premier League,15th,8,0,141,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Antony,2024-2025,24,Real Betis,es ESP,1. La Liga,6th,17,15,"1,362",15.1,5,2,7,5,0,0,2,1,0.33,0.13,0.46,0.33,0.46,Matches
Antony,2025-2026,25,Real Betis,es ESP,1. La Liga,5th,31,29,"2,357",26.2,8,6,14,8,0,0,5,1,0.31,0.23,0.53,0.31,0.53,Matches
Bento,2020,20,Athletico Paranaense,br BRA,1. Série A,9th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bento,2021,21,Athletico Paranaense,br BRA,1. Série A,14th,9,9,810,9.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Bento,2022,22,Athletico Paranaense,br BRA,1. Série A,6th,33,33,"2,970",33.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Bento,2023,23,Athletico Paranaense,br BRA,1. Série A,8th,33,33,"2,970",33.0,0,1,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,Matches
Bento,2024,24,Athletico Paranaense,br BRA,1. Série A,17th,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Bento,2024-2025,25,Al-Nassr,sa KSA,1. Pro League,3rd,34,34,"3,060",34.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Bento,2025-2026,26,Al-Nassr,sa KSA,1. Pro League,1st,21,21,"1,890",21.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bremer,2017,19,Atlético Mineiro,br BRA,1. Série A,9th,12,10,"1,012",11.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Bremer,2018,20,Atlético Mineiro,br BRA,1. Série A,6th,11,9,855,9.5,1,0,1,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches
Bremer,2018-2019,21,Torino,it ITA,1. Serie A,7th,5,2,183,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Bremer,2019-2020,22,Torino,it ITA,1. Serie A,16th,27,27,"2,270",25.2,3,1,4,3,0,0,6,2,0.12,0.04,0.16,0.12,0.16,Matches
Bremer,2020-2021,23,Torino,it ITA,1. Serie A,17th,33,33,"2,935",32.6,5,0,5,5,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches
Bremer,2021-2022,24,Torino,it ITA,1. Serie A,10th,33,33,"2,890",32.1,3,1,4,3,0,0,7,0,0.09,0.03,0.12,0.09,0.12,Matches
Bremer,2022-2023,25,Juventus,it ITA,1. Serie A,7th,30,30,"2,634",29.3,4,1,5,4,0,0,6,0,0.14,0.03,0.17,0.14,0.17,Matches
Bremer,2023-2024,26,Juventus,it ITA,1. Serie A,3rd,36,36,"3,233",35.9,3,0,3,3,0,0,9,0,0.08,0.00,0.08,0.08,0.08,Matches
Bremer,2024-2025,27,Juventus,it ITA,1. Serie A,4th,6,6,540,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Bremer,2025-2026,28,Juventus,it ITA,1. Serie A,6th,26,25,"2,171",24.1,4,3,7,4,0,0,5,0,0.17,0.12,0.29,0.17,0.29,Matches
Bruno Guimarães,2017,19,Athletico Paranaense,br BRA,1. Série A,11th,4,0,75,0.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Bruno Guimarães,2018,20,Athletico Paranaense,br BRA,1. Série A,7th,32,21,"1,953",21.7,1,1,2,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,Matches
Bruno Guimarães,2019,21,Athletico Paranaense,br BRA,1. Série A,5th,25,23,"1,963",21.8,2,1,3,2,0,0,4,0,0.09,0.05,0.14,0.09,0.14,Matches
Bruno Guimarães,2019-2020,21,Lyon,fr FRA,1. Ligue 1,7th,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Bruno Guimarães,2020-2021,22,Lyon,fr FRA,1. Ligue 1,4th,33,21,"1,754",19.5,3,1,4,2,1,1,6,0,0.15,0.05,0.21,0.10,0.15,Matches
Bruno Guimarães,2021-2022,23,Lyon,fr FRA,1. Ligue 1,8th,20,19,"1,634",18.2,0,3,3,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches
Bruno Guimarães,2021-2022,23,Newcastle United,eng ENG,1. Premier League,11th,17,11,"1,034",11.5,5,1,6,5,0,0,4,0,0.44,0.09,0.52,0.44,0.52,Matches
Bruno Guimarães,2022-2023,24,Newcastle United,eng ENG,1. Premier League,4th,32,32,"2,726",30.3,4,5,9,4,0,0,7,0,0.13,0.17,0.30,0.13,0.30,Matches
Bruno Guimarães,2023-2024,25,Newcastle United,eng ENG,1. Premier League,7th,37,37,"3,263",36.3,7,8,15,7,0,0,9,0,0.19,0.22,0.41,0.19,0.41,Matches
Bruno Guimarães,2024-2025,26,Newcastle United,eng ENG,1. Premier League,5th,38,38,"3,271",36.3,5,6,11,5,0,0,7,0,0.14,0.17,0.30,0.14,0.30,Matches
Bruno Guimarães,2025-2026,27,Newcastle United,eng ENG,1. Premier League,11th,28,26,"2,388",26.5,9,5,14,7,2,2,5,0,0.34,0.19,0.53,0.26,0.45,Matches
Carlos Augusto,2018,19,Corinthians,br BRA,1. Série A,13th,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Carlos Augusto,2019,20,Corinthians,br BRA,1. Série A,8th,15,13,"1,200",13.3,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
Carlos Augusto,2020-2021,21,Monza,it ITA,2. Serie B,3rd,30,28,"2,406",26.7,3,1,4,3,0,0,1,1,0.11,0.04,0.15,0.11,0.15,Matches
Carlos Augusto,2021-2022,22,Monza,it ITA,2. Serie B,4th,32,31,"2,722",30.2,2,1,3,2,0,0,7,1,0.07,0.03,0.10,0.07,0.10,Matches
Carlos Augusto,2022-2023,23,Monza,it ITA,1. Serie A,11th,35,35,"3,083",34.3,6,5,11,6,0,0,4,0,0.18,0.15,0.32,0.18,0.32,Matches
Carlos Augusto,2023-2024,24,Inter,it ITA,1. Serie A,1st,37,14,"1,725",19.2,0,3,3,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches
Carlos Augusto,2024-2025,25,Inter,it ITA,1. Serie A,2nd,29,15,"1,691",18.8,3,2,5,3,0,0,1,0,0.16,0.11,0.27,0.16,0.27,Matches
Carlos Augusto,2025-2026,26,Inter,it ITA,1. Serie A,1st,33,17,"1,673",18.6,1,1,2,1,0,0,6,0,0.05,0.05,0.11,0.05,0.11,Matches
Casemiro,2012-2013,20,Real Madrid B,es ESP,2. La Liga 2,8th,15,15,"1,201",13.3,1,0,1,1,0,0,7,0,0.07,0.00,0.07,0.07,0.07,Matches
Casemiro,2012-2013,20,Real Madrid,es ESP,1. La Liga,2nd,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Casemiro,2013-2014,21,Real Madrid,es ESP,1. La Liga,3rd,12,1,290,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Casemiro,2014-2015,22,Porto,pt POR,1. Primeira Liga,2nd,28,26,"2,151",23.9,3,3,6,3,0,0,13,0,0.13,0.13,0.25,0.13,0.25,Matches
Casemiro,2015-2016,23,Real Madrid,es ESP,1. La Liga,2nd,23,17,"1,529",17.0,1,3,4,1,0,0,7,0,0.06,0.18,0.24,0.06,0.24,Matches
Casemiro,2016-2017,24,Real Madrid,es ESP,1. La Liga,1st,25,20,"1,706",19.0,4,0,4,4,0,0,10,0,0.21,0.00,0.21,0.21,0.21,Matches
Casemiro,2017-2018,25,Real Madrid,es ESP,1. La Liga,3rd,30,30,"2,595",28.8,5,3,8,5,0,0,8,0,0.17,0.10,0.28,0.17,0.28,Matches
Casemiro,2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,29,27,"2,312",25.7,3,0,3,3,0,0,7,1,0.12,0.00,0.12,0.12,0.12,Matches
Casemiro,2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,35,35,"3,088",34.3,4,3,7,4,0,0,12,0,0.12,0.09,0.20,0.12,0.20,Matches
Casemiro,2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,34,32,"2,901",32.2,6,4,10,6,0,0,11,1,0.19,0.12,0.31,0.19,0.31,Matches
Casemiro,2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,32,31,"2,569",28.5,1,3,4,1,0,0,11,0,0.04,0.11,0.14,0.04,0.14,Matches
Casemiro,2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Casemiro,2022-2023,30,Manchester Utd,eng ENG,1. Premier League,3rd,28,24,"2,124",23.6,4,3,7,4,0,0,7,2,0.17,0.13,0.30,0.17,0.30,Matches
Casemiro,2023-2024,31,Manchester Utd,eng ENG,1. Premier League,8th,25,24,"1,982",22.0,1,2,3,1,0,0,7,0,0.05,0.09,0.14,0.05,0.14,Matches
Casemiro,2024-2025,32,Manchester Utd,eng ENG,1. Premier League,15th,24,18,"1,494",16.6,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches
Casemiro,2025-2026,33,Manchester Utd,eng ENG,1. Premier League,3rd,34,33,"2,571",28.6,9,2,11,9,0,0,11,1,0.32,0.07,0.39,0.32,0.39,Matches
Danilo,2011-2012,20,Porto,pt POR,1. Primeira Liga,1st,6,2,306,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Danilo,2012-2013,21,Porto,pt POR,1. Primeira Liga,1st,28,28,"2,469",27.4,2,5,7,2,0,0,2,1,0.07,0.18,0.26,0.07,0.26,Matches
Danilo,2013-2014,22,Porto,pt POR,1. Primeira Liga,3rd,28,27,"2,394",26.6,3,4,7,3,0,1,7,1,0.11,0.15,0.26,0.11,0.26,Matches
Danilo,2014-2015,23,Porto,pt POR,1. Primeira Liga,2nd,29,29,"2,565",28.5,6,0,6,5,1,1,9,0,0.21,0.00,0.21,0.18,0.18,Matches
Danilo,2015-2016,24,Real Madrid,es ESP,1. La Liga,2nd,24,23,"2,044",22.7,2,5,7,2,0,0,6,0,0.09,0.22,0.31,0.09,0.31,Matches
Danilo,2016-2017,25,Real Madrid,es ESP,1. La Liga,1st,17,17,"1,485",16.5,1,2,3,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18,Matches
Danilo,2017-2018,26,Manchester City,eng ENG,1. Premier League,1st,23,13,"1,349",15.0,3,2,5,3,0,0,2,0,0.20,0.13,0.33,0.20,0.33,Matches
Danilo,2018-2019,27,Manchester City,eng ENG,1. Premier League,1st,11,9,807,9.0,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches
Danilo,2019-2020,28,Juventus,it ITA,1. Serie A,1st,22,16,"1,440",16.0,2,0,2,2,0,0,4,1,0.12,0.00,0.12,0.12,0.12,Matches
Danilo,2020-2021,29,Juventus,it ITA,1. Serie A,4th,34,32,"2,916",32.4,1,4,5,1,0,0,6,0,0.03,0.12,0.15,0.03,0.15,Matches
Danilo,2021-2022,30,Juventus,it ITA,1. Serie A,4th,22,22,"1,893",21.0,1,2,3,1,0,0,6,0,0.05,0.10,0.14,0.05,0.14,Matches
Danilo,2022-2023,31,Juventus,it ITA,1. Serie A,7th,37,35,"3,184",35.4,3,3,6,3,0,0,5,0,0.08,0.08,0.17,0.08,0.17,Matches
Danilo,2023-2024,32,Juventus,it ITA,1. Serie A,3rd,29,27,"2,452",27.2,1,1,2,1,0,0,7,0,0.04,0.04,0.07,0.04,0.07,Matches
Danilo,2024-2025,33,Juventus,it ITA,1. Serie A,4th,12,6,581,6.5,0,1,1,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches
Danilo,2025,33,Flamengo,br BRA,1. Série A,1st,20,14,"1,410",15.7,1,1,2,1,0,0,2,1,0.06,0.06,0.13,0.06,0.13,Matches
Danilo,2026,34,Flamengo,br BRA,1. Série A,2nd,4,2,205,2.3,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
Danilo Santos,2020,18,Palmeiras,br BRA,1. Série A,7th,18,8,908,10.1,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Danilo Santos,2021,19,Palmeiras,br BRA,1. Série A,3rd,22,18,"1,553",17.3,2,1,3,2,0,0,4,0,0.12,0.06,0.17,0.12,0.17,Matches
Danilo Santos,2022,20,Palmeiras,br BRA,1. Série A,1st,34,33,"2,743",30.5,1,2,3,1,0,0,5,1,0.03,0.07,0.10,0.03,0.10,Matches
Danilo Santos,2022-2023,21,Nottingham Forest,eng ENG,1. Premier League,16th,13,12,976,10.8,3,2,5,3,0,0,1,0,0.28,0.18,0.46,0.28,0.46,Matches
Danilo Santos,2023-2024,22,Nottingham Forest,eng ENG,1. Premier League,17th,29,20,"1,792",19.9,2,2,4,2,0,0,4,0,0.10,0.10,0.20,0.10,0.20,Matches
Danilo Santos,2024-2025,23,Nottingham Forest,eng ENG,1. Premier League,7th,8,5,275,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Danilo Santos,2025,23,Botafogo (RJ),br BRA,1. Série A,6th,13,10,827,9.2,1,3,4,1,0,0,2,0,0.11,0.33,0.44,0.11,0.44,Matches
Danilo Santos,2026,24,Botafogo (RJ),br BRA,1. Série A,9th,12,12,"1,070",11.9,7,2,9,7,0,0,1,0,0.59,0.17,0.76,0.59,0.76,Matches
Douglas Santos,2013-2014,19,Udinese,it ITA,1. Serie A,13th,3,3,166,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Douglas Santos,2014,19,Atlético Mineiro,br BRA,1. Série A,5th,13,9,863,9.6,1,1,2,1,0,0,1,0,0.10,0.10,0.21,0.10,0.21,Matches
Douglas Santos,2015,20,Atlético Mineiro,br BRA,1. Série A,2nd,31,31,"2,695",29.9,0,3,3,0,0,0,6,0,0.00,0.10,0.10,0.00,0.10,Matches
Douglas Santos,2016,21,Atlético Mineiro,br BRA,1. Série A,4th,10,9,855,9.5,0,2,2,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches
Douglas Santos,2016-2017,22,Hamburger SV,de GER,1. Bundesliga,14th,20,19,"1,713",19.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Douglas Santos,2017-2018,23,Hamburger SV,de GER,1. Bundesliga,17th,27,26,"2,378",26.4,1,1,2,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Matches
Douglas Santos,2018-2019,24,Hamburger SV,de GER,2. 2. Bundesliga,4th,33,33,"2,894",32.2,1,4,5,1,0,0,3,0,0.03,0.12,0.16,0.03,0.16,Matches
Douglas Santos,2019-2020,25,Zenit,ru RUS,1. Premier League,1st,28,27,"2,451",27.2,0,3,3,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,Matches
Douglas Santos,2020-2021,26,Zenit,ru RUS,1. Premier League,1st,28,28,"2,458",27.3,3,7,10,3,0,0,2,0,0.11,0.26,0.37,0.11,0.37,Matches
Douglas Santos,2021-2022,27,Zenit,ru RUS,1. Premier League,1st,27,27,"2,283",25.4,0,2,2,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches
Douglas Santos,2022-2023,28,Zenit,ru RUS,1. Premier League,1st,28,27,"2,437",27.1,0,3,3,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches
